Site,SiteType,Year,Parameter,Max,Min,Avg,Count,Provenance
Bear Lake (Manistee),Lake,2002,Chloride,8.577686548828707,6.123454736569787,7.252896324641698,21,simulated
Bear Lake (Manistee),Lake,2003,Chloride,7.674550293458349,5.52820245089351,7.10078241506895,23,simulated
Bear Lake (Manistee),Lake,2004,Chloride,8.140940990616674,5.460645593022616,6.855087624518593,24,simulated
Bear Lake (Manistee),Lake,2005,Chloride,8.543764972575051,5.509317066677244,7.289999133103514,19,simulated
Bear Lake (Manistee),Lake,2006,Chloride,8.738458753986292,5.901711395129777,7.088586467926506,18,simulated
Bear Lake (Manistee),Lake,2007,Chloride,9.703490716887663,5.785307842838446,7.7906169701189345,26,simulated
Bear Lake (Manistee),Lake,2008,Chloride,10.039561924693533,5.0262482078749775,7.447464198442121,24,simulated
Bear Lake (Manistee),Lake,2009,Chloride,9.34707299411042,5.7015766736525375,7.267193678037658,21,simulated
Bear Lake (Manistee),Lake,2010,Chloride,8.93297164434835,5.661254262600876,7.543725092711623,28,simulated
Bear Lake (Manistee),Lake,2011,Chloride,9.204120598903692,5.788310128368547,7.916305377103508,24,simulated
Bear Lake (Manistee),Lake,2012,Chloride,9.559232780546484,6.122017622195988,7.613472091069712,28,simulated
Bear Lake (Manistee),Lake,2013,Chloride,8.613929765528582,5.788133732235095,7.592731693507807,25,simulated
Bear Lake (Manistee),Lake,2014,Chloride,10.909433140382315,6.2976163184274965,8.110717973052006,31,simulated
Bear Lake (Manistee),Lake,2015,Chloride,10.672618296099039,6.320506076615095,8.200232434707537,30,simulated
Bear Lake (Manistee),Lake,2016,Chloride,9.503217839721493,6.612313829781139,7.97680368625471,25,simulated
Bear Lake (Manistee),Lake,2017,Chloride,8.954025176764732,6.266905646744185,8.079450880952603,29,simulated
Bear Lake (Manistee),Lake,2018,Chloride,11.11929114042459,6.300119363550682,8.467609451724245,28,simulated
Bear Lake (Manistee),Lake,2019,Chloride,9.522256031096234,5.331815191511229,7.836924539932733,30,simulated
Bear Lake (Manistee),Lake,2020,Chloride,10.365667576887308,5.663293040012764,7.940593712033966,24,simulated
Bear Lake (Manistee),Lake,2021,Chloride,9.298879435130367,5.277203826672999,8.331003087680516,29,simulated
Bear Lake (Manistee),Lake,2022,Chloride,10.226599696857773,7.164707006434973,8.647132661203873,30,simulated
Bear Lake (Manistee),Lake,2023,Chloride,10.980453118776,6.455266026262967,8.97790498748121,22,simulated
Bear Lake (Manistee),Lake,2024,Chloride,11.775461545521734,7.349070745805774,9.606023564742026,24,simulated
Bear Lake (Manistee),Lake,2025,Chloride,11.24342218795624,5.948636590293956,9.427391823967072,22,simulated
Bear Lake (Manistee),Lake,2000,Nitrate,12.061892084590042,9.235890593146305,10.727240640604952,16,simulated
Bear Lake (Manistee),Lake,2001,Nitrate,13.038968574088553,7.269942812657048,11.097786136523016,14,simulated
Bear Lake (Manistee),Lake,2002,Nitrate,11.850819096145615,8.0689708698231,10.335635603376655,15,simulated
Bear Lake (Manistee),Lake,2003,Nitrate,14.724004362824179,9.19433750832813,11.09697879036731,20,simulated
Bear Lake (Manistee),Lake,2004,Nitrate,12.1534635076557,7.334179929991451,9.536560482009117,19,simulated
Bear Lake (Manistee),Lake,2005,Nitrate,11.367944353876856,7.385273818731012,9.34486527518335,15,simulated
Bear Lake (Manistee),Lake,2006,Nitrate,13.329631639803317,8.09278073962071,10.14926858676923,19,simulated
Bear Lake (Manistee),Lake,2007,Nitrate,12.636851160249332,7.683219321282105,10.340724879712752,21,simulated
Bear Lake (Manistee),Lake,2008,Nitrate,11.726856451408079,7.410981664549919,10.10119241687801,14,simulated
Bear Lake (Manistee),Lake,2009,Nitrate,11.915769555764413,7.401373490968735,9.053366724855524,21,simulated
Bear Lake (Manistee),Lake,2010,Nitrate,12.538198488974455,8.216079402580073,10.01377816756352,18,simulated
Bear Lake (Manistee),Lake,2011,Nitrate,10.781900331299251,7.512241739648852,9.379789002934626,22,simulated
Bear Lake (Manistee),Lake,2012,Nitrate,12.445367568713854,9.637645857708177,10.331377556838122,18,simulated
Bear Lake (Manistee),Lake,2013,Nitrate,11.775378378724213,8.949591483690265,10.151147611791265,15,simulated
Bear Lake (Manistee),Lake,2014,Nitrate,10.680593969717291,6.577153466791583,9.477134333896336,16,simulated
Bear Lake (Manistee),Lake,2015,Nitrate,12.337165347194421,6.528313840230646,9.658731710214914,21,simulated
Bear Lake (Manistee),Lake,2016,Nitrate,12.558818015504379,7.482967272910015,9.363037387313067,22,simulated
Bear Lake (Manistee),Lake,2017,Nitrate,11.059821928662716,7.322284545739434,9.822579003806522,19,simulated
Bear Lake (Manistee),Lake,2018,Nitrate,12.899812107532595,7.848238366021162,10.289713028911128,24,simulated
Bear Lake (Manistee),Lake,2019,Nitrate,10.943597861517004,5.427265775084185,9.316465605210071,17,simulated
Bear Lake (Manistee),Lake,2020,Nitrate,11.865782320609963,7.1087003525088654,10.010811916814434,22,simulated
Bear Lake (Manistee),Lake,2021,Nitrate,11.173774876683034,7.503123927702148,9.481808691062694,19,simulated
Bear Lake (Manistee),Lake,2022,Nitrate,10.82697673998193,7.883569372448161,9.32747643506554,21,simulated
Bear Lake (Manistee),Lake,2023,Nitrate,11.7495057983555,8.546817584314898,9.629409093442144,24,simulated
Bear Lake (Manistee),Lake,2024,Nitrate,10.648455579665914,7.048322435583014,9.156711256630164,21,simulated
Bear Lake (Manistee),Lake,2025,Nitrate,11.555662831805762,7.78943805248859,9.35971026213022,23,simulated
Bear Lake (Manistee),Lake,2000,Secchi Depth,13.888862338068533,6.978206649146038,10.475124465616956,23,simulated
Bear Lake (Manistee),Lake,2001,Secchi Depth,17.017977688073497,10.1058818801431,11.85870984232993,22,simulated
Bear Lake (Manistee),Lake,2002,Secchi Depth,14.176211259457322,7.341989416664297,9.99396054330265,20,simulated
Bear Lake (Manistee),Lake,2003,Secchi Depth,17.418461823119955,9.681868735931532,11.621571016960573,24,simulated
Bear Lake (Manistee),Lake,2004,Secchi Depth,16.571143518665103,8.268224873458326,12.53303525528252,28,simulated
Bear Lake (Manistee),Lake,2005,Secchi Depth,11.829452210381778,5.412455259529909,8.765140541631267,27,simulated
Bear Lake (Manistee),Lake,2006,Secchi Depth,13.215331574814247,4.461185722243387,10.416405246655955,28,simulated
Bear Lake (Manistee),Lake,2007,Secchi Depth,15.666915273260202,6.860733441657909,11.782315518702774,22,simulated
Bear Lake (Manistee),Lake,2008,Secchi Depth,15.726905651633686,7.121825697232547,11.04838188196602,21,simulated
Bear Lake (Manistee),Lake,2009,Secchi Depth,17.071080721356758,6.1095597342356704,11.638411480825942,24,simulated
Bear Lake (Manistee),Lake,2010,Secchi Depth,13.655370122003822,9.337311096351325,10.708727830873393,25,simulated
Bear Lake (Manistee),Lake,2011,Secchi Depth,16.890599126894795,6.766005254639301,11.415345534354028,28,simulated
Bear Lake (Manistee),Lake,2012,Secchi Depth,17.19954093732705,5.956440948089406,11.204140684355348,20,simulated
Bear Lake (Manistee),Lake,2013,Secchi Depth,17.90453347919346,9.887204688298654,12.541864430255558,30,simulated
Bear Lake (Manistee),Lake,2014,Secchi Depth,18.6027716765442,5.705664212336821,11.66624916346083,25,simulated
Bear Lake (Manistee),Lake,2015,Secchi Depth,15.217867071786577,6.8424761659342455,11.777665425282454,25,simulated
Bear Lake (Manistee),Lake,2016,Secchi Depth,13.695212235502057,7.3763700180196405,11.059151095369131,23,simulated
Bear Lake (Manistee),Lake,2017,Secchi Depth,12.964033644067124,6.027062006022536,11.010612587948742,22,simulated
Bear Lake (Manistee),Lake,2018,Secchi Depth,17.206415728804657,3.998612585601255,11.09283379141648,29,simulated
Bear Lake (Manistee),Lake,2019,Secchi Depth,17.38955234148816,7.156770671702111,11.950953818309952,27,simulated
Bear Lake (Manistee),Lake,2020,Secchi Depth,15.333190876107347,6.598051512070223,11.159065150636604,24,simulated
Bear Lake (Manistee),Lake,2021,Secchi Depth,16.812714173507306,7.999796091120146,11.90406806944821,24,simulated
Bear Lake (Manistee),Lake,2022,Secchi Depth,17.20257424452265,9.84623826597971,13.740521243552514,27,simulated
Bear Lake (Manistee),Lake,2023,Secchi Depth,20.830921542907173,6.588052747591089,12.552455633181996,33,simulated
Bear Lake (Manistee),Lake,2024,Secchi Depth,15.856848202591912,8.152585540908964,11.365718635987276,28,simulated
Bear Lake (Manistee),Lake,2025,Secchi Depth,18.038910015588666,7.918516032722009,12.95075882443818,24,simulated
Bear Lake (Manistee),Lake,2000,Total Phosphorus,7.153674551229612,5.843859939322983,6.337639552687761,22,simulated
Bear Lake (Manistee),Lake,2001,Total Phosphorus,7.0456605030835044,4.545890372036946,5.577336372060472,21,simulated
Bear Lake (Manistee),Lake,2002,Total Phosphorus,7.57682421045185,5.180475421736528,6.342071405262262,22,simulated
Bear Lake (Manistee),Lake,2003,Total Phosphorus,7.346609875647352,5.513459718254143,6.258814085453182,23,simulated
Bear Lake (Manistee),Lake,2004,Total Phosphorus,8.26615599294615,5.475926139530841,6.5036896938562565,21,simulated
Bear Lake (Manistee),Lake,2005,Total Phosphorus,7.920212813520212,5.876263402364518,6.812669141600246,21,simulated
Bear Lake (Manistee),Lake,2006,Total Phosphorus,7.349275870464857,4.502160997202457,6.567541227738771,24,simulated
Bear Lake (Manistee),Lake,2007,Total Phosphorus,6.801055024510069,4.510147706548244,6.127807283776717,21,simulated
Bear Lake (Manistee),Lake,2008,Total Phosphorus,7.280647266128278,4.187385020602151,5.854489565358638,25,simulated
Bear Lake (Manistee),Lake,2009,Total Phosphorus,7.7668486611062715,5.163762617535281,6.891936253209483,19,simulated
Bear Lake (Manistee),Lake,2010,Total Phosphorus,8.064136598471398,5.29797820357395,6.134106824859523,28,simulated
Bear Lake (Manistee),Lake,2011,Total Phosphorus,6.562911702479275,5.033480671388221,6.091524089564571,26,simulated
Bear Lake (Manistee),Lake,2012,Total Phosphorus,7.9334120339499545,4.620824558668621,6.051274457761549,26,simulated
Bear Lake (Manistee),Lake,2013,Total Phosphorus,7.418924416078165,5.29076160296249,6.085199644029749,28,simulated
Bear Lake (Manistee),Lake,2014,Total Phosphorus,7.151716427282644,4.467988914035306,5.959039782400142,31,simulated
Bear Lake (Manistee),Lake,2015,Total Phosphorus,6.811255248793117,4.698362756622466,5.809521425828461,29,simulated
Bear Lake (Manistee),Lake,2016,Total Phosphorus,7.125145117900717,4.729911196887874,5.788997828057569,21,simulated
Bear Lake (Manistee),Lake,2017,Total Phosphorus,7.107595393774553,4.427693061846306,5.904303819670335,23,simulated
Bear Lake (Manistee),Lake,2018,Total Phosphorus,7.307425968746429,4.394720281708339,5.734228030942327,25,simulated
Bear Lake (Manistee),Lake,2019,Total Phosphorus,6.866431745882188,4.619514007860636,5.65981607309649,27,simulated
Bear Lake (Manistee),Lake,2020,Total Phosphorus,7.119303065055734,4.230174029640677,5.857480724784477,29,simulated
Bear Lake (Manistee),Lake,2021,Total Phosphorus,6.782808853385795,4.932346367246264,5.730459778974469,26,simulated
Bear Lake (Manistee),Lake,2022,Total Phosphorus,7.433506095144241,4.671639256741252,6.181170563111015,29,simulated
Bear Lake (Manistee),Lake,2023,Total Phosphorus,6.15869387174444,3.806317111653839,5.026848121826677,26,simulated
Bear Lake (Manistee),Lake,2024,Total Phosphorus,6.613876993075229,4.886691401753964,6.010576765828948,27,simulated
Bear Lake (Manistee),Lake,2025,Total Phosphorus,6.762381013112042,4.660042336545789,6.023011937527317,25,simulated
Big Glen Lake,Lake,2000,Chlorophyll-a,6.653139943789742,5.148286864096606,5.927839819501947,11,simulated
Big Glen Lake,Lake,2001,Chlorophyll-a,6.782767167791021,5.198533211192197,6.036967831077081,13,simulated
Big Glen Lake,Lake,2002,Chlorophyll-a,7.319384959852716,5.391204794643635,6.483760366538308,13,simulated
Big Glen Lake,Lake,2003,Chlorophyll-a,7.035677841392717,5.1956794704909,6.109893882075522,14,simulated
Big Glen Lake,Lake,2004,Chlorophyll-a,7.718350224240015,6.295309009016602,6.881229150009407,17,simulated
Big Glen Lake,Lake,2005,Chlorophyll-a,7.743524767654562,5.451825599738792,6.4768388685435525,18,simulated
Big Glen Lake,Lake,2006,Chlorophyll-a,7.118963524483344,5.3648604236433055,6.448743448052307,22,simulated
Big Glen Lake,Lake,2007,Chlorophyll-a,7.106623729970185,5.226694196739951,6.266357455841797,15,simulated
Big Glen Lake,Lake,2008,Chlorophyll-a,7.446847495397335,5.382267784717096,6.629345518738295,21,simulated
Big Glen Lake,Lake,2009,Chlorophyll-a,7.69931710199492,5.260323361157034,6.396264604835129,18,simulated
Big Glen Lake,Lake,2010,Chlorophyll-a,7.5703048867745215,5.516849497136593,6.580401814428731,18,simulated
Big Glen Lake,Lake,2011,Chlorophyll-a,8.46689550095327,6.146091475409726,7.138858853100598,21,simulated
Big Glen Lake,Lake,2012,Chlorophyll-a,7.127335159128519,6.136165630163036,6.607056571930362,16,simulated
Big Glen Lake,Lake,2013,Chlorophyll-a,7.97415053140297,5.804725206756461,6.9133861905618295,21,simulated
Big Glen Lake,Lake,2014,Chlorophyll-a,7.727407860469559,5.560565065568938,6.54882505540093,20,simulated
Big Glen Lake,Lake,2015,Chlorophyll-a,7.711411376212116,5.697388518603148,6.73155204119992,21,simulated
Big Glen Lake,Lake,2016,Chlorophyll-a,8.509870708631674,6.538331784106534,7.166431958314663,21,simulated
Big Glen Lake,Lake,2017,Chlorophyll-a,7.477010290096987,6.03506291006182,6.67584004067484,28,simulated
Big Glen Lake,Lake,2018,Chlorophyll-a,8.722364381069664,5.899448780897579,7.255835441398347,19,simulated
Big Glen Lake,Lake,2019,Chlorophyll-a,8.741102656262605,6.059639680334424,7.0491237386017005,20,simulated
Big Glen Lake,Lake,2020,Chlorophyll-a,7.663804203756959,5.638717124792328,6.802640649133863,20,simulated
Big Glen Lake,Lake,2021,Chlorophyll-a,7.98603903797827,6.09217802373475,7.110902549200911,20,simulated
Big Glen Lake,Lake,2022,Chlorophyll-a,8.702389736799212,6.192001406634543,7.227935174444054,20,simulated
Big Glen Lake,Lake,2023,Chlorophyll-a,8.69295549114722,5.879476961944441,7.187993866500757,26,simulated
Big Glen Lake,Lake,2024,Chlorophyll-a,7.529123323341194,5.916512873558401,6.723794545433131,27,simulated
Big Glen Lake,Lake,2025,Chlorophyll-a,7.819933494030906,5.939638279046015,6.956316851965315,21,simulated
Big Glen Lake,Lake,2000,Chloride,9.539625149699432,3.9474875762070116,6.426659735167787,10,simulated
Big Glen Lake,Lake,2001,Chloride,7.6684913879203025,3.9120341623274935,6.054271310355806,16,simulated
Big Glen Lake,Lake,2002,Chloride,8.686569287729341,3.595614426378148,6.615514767759022,15,simulated
Big Glen Lake,Lake,2003,Chloride,8.541804980926344,4.250982921945791,6.492092287131809,13,simulated
Big Glen Lake,Lake,2004,Chloride,8.319296127626792,4.2846892372071235,5.806483689698799,11,simulated
Big Glen Lake,Lake,2005,Chloride,9.2575643269613,4.71179846018679,7.202369081529772,18,simulated
Big Glen Lake,Lake,2006,Chloride,9.728183172061843,4.490562181002735,7.379136071997348,17,simulated
Big Glen Lake,Lake,2007,Chloride,8.58627657612097,4.040063594067054,6.372864607903556,15,simulated
Big Glen Lake,Lake,2008,Chloride,8.560122275129396,4.322220382019614,6.533484162093741,21,simulated
Big Glen Lake,Lake,2009,Chloride,8.655917844072654,4.224792415044353,6.900411227495197,13,simulated
Big Glen Lake,Lake,2010,Chloride,9.15872517302754,4.214530024324574,6.986850227014201,12,simulated
Big Glen Lake,Lake,2011,Chloride,9.998801678563414,4.209139163613392,7.201875433043114,15,simulated
Big Glen Lake,Lake,2012,Chloride,9.506641232691765,5.128137019798606,7.900561519591921,17,simulated
Big Glen Lake,Lake,2013,Chloride,9.06289477927392,5.005233824808368,6.942270030515873,18,simulated
Big Glen Lake,Lake,2014,Chloride,8.268254928328487,4.6528734158522225,6.710973121790391,17,simulated
Big Glen Lake,Lake,2015,Chloride,9.085715524033624,3.896035057448751,6.494155198739648,19,simulated
Big Glen Lake,Lake,2016,Chloride,7.964721549413812,5.3457543360271735,6.8689938627883365,15,simulated
Big Glen Lake,Lake,2017,Chloride,9.052976760249273,4.901242206323822,7.27442883370107,23,simulated
Big Glen Lake,Lake,2018,Chloride,10.94107823206129,6.108872706481442,8.245038844512028,19,simulated
Big Glen Lake,Lake,2019,Chloride,10.263503657852034,5.044758721627646,7.16871045968548,23,simulated
Big Glen Lake,Lake,2020,Chloride,9.799378723012984,4.516318753927159,7.608487684909168,21,simulated
Big Glen Lake,Lake,2021,Chloride,9.407356495615826,5.2100193517013365,7.557195175202219,21,simulated
Big Glen Lake,Lake,2022,Chloride,12.033978483579574,5.789409644358289,8.245142306345816,22,simulated
Big Glen Lake,Lake,2023,Chloride,10.512100792766745,7.446711882247511,9.014422152590852,22,simulated
Big Glen Lake,Lake,2024,Chloride,8.251202285695097,4.804458478318576,7.501233066967108,23,simulated
Big Glen Lake,Lake,2025,Chloride,10.117587728097133,4.930532727592622,7.592801202471996,25,simulated
Big Glen Lake,Lake,2000,Nitrate,13.492015231453323,8.580169343599586,10.975143826005088,18,simulated
Big Glen Lake,Lake,2001,Nitrate,12.348635725796102,8.097982192020604,10.516924943003726,15,simulated
Big Glen Lake,Lake,2002,Nitrate,13.36090778408359,10.328879518831378,11.27457369533358,15,simulated
Big Glen Lake,Lake,2003,Nitrate,12.117680605854476,8.103465496101713,10.134651833073764,18,simulated
Big Glen Lake,Lake,2004,Nitrate,14.1538956367414,9.418542578657021,11.377564431587716,18,simulated
Big Glen Lake,Lake,2005,Nitrate,12.988453902043283,8.814336855476563,10.387224655099358,11,simulated
Big Glen Lake,Lake,2006,Nitrate,11.361977522486061,7.725343460077597,9.63520406852118,21,simulated
Big Glen Lake,Lake,2007,Nitrate,12.630353398621903,6.932072729304429,10.396290280100672,21,simulated
Big Glen Lake,Lake,2008,Nitrate,13.482253471685254,7.378774715376114,9.945638734305112,15,simulated
Big Glen Lake,Lake,2009,Nitrate,14.19117288850426,8.76489470194491,10.680804041366178,18,simulated
Big Glen Lake,Lake,2010,Nitrate,12.306586416080982,7.378602842412296,9.886336161887636,19,simulated
Big Glen Lake,Lake,2011,Nitrate,12.132864022480481,6.894389298307853,9.953618350525543,19,simulated
Big Glen Lake,Lake,2012,Nitrate,11.254053730066378,6.650584285082186,9.192482608206875,16,simulated
Big Glen Lake,Lake,2013,Nitrate,12.408403472749443,7.700521355470185,9.876825952091163,16,simulated
Big Glen Lake,Lake,2014,Nitrate,10.187457669583653,7.312867272537511,8.858271835597051,19,simulated
Big Glen Lake,Lake,2015,Nitrate,11.088380518563737,6.822434371624627,9.24218407487626,23,simulated
Big Glen Lake,Lake,2016,Nitrate,11.487552644139846,7.857756771114362,10.36678406327148,21,simulated
Big Glen Lake,Lake,2017,Nitrate,12.847415446343252,7.501154406174624,10.340819153187669,18,simulated
Big Glen Lake,Lake,2018,Nitrate,12.743131896512256,7.516045070548505,10.125635096853738,22,simulated
Big Glen Lake,Lake,2019,Nitrate,11.148595607606095,6.729725987588429,9.407358209567814,12,simulated
Big Glen Lake,Lake,2020,Nitrate,12.949758812535753,8.035721100555973,9.820174494582549,24,simulated
Big Glen Lake,Lake,2021,Nitrate,11.147156548634255,6.843734402802701,9.805138585029384,16,simulated
Big Glen Lake,Lake,2022,Nitrate,10.328407379557287,7.098490945257066,9.21049978003366,20,simulated
Big Glen Lake,Lake,2023,Nitrate,12.874726963827442,6.784925866124207,10.458344268127764,18,simulated
Big Glen Lake,Lake,2024,Nitrate,12.997741602047608,8.381522538576185,10.119129610340536,18,simulated
Big Glen Lake,Lake,2025,Nitrate,12.670281931994472,6.410419052081476,9.556497671228502,25,simulated
Big Glen Lake,Lake,2000,Secchi Depth,14.279536918180662,7.732629508065386,10.472193954354768,13,simulated
Big Glen Lake,Lake,2001,Secchi Depth,13.520701734858967,7.435080074053503,10.24708702788648,6,simulated
Big Glen Lake,Lake,2002,Secchi Depth,12.467261030196203,9.461672048921974,10.599923159564574,6,simulated
Big Glen Lake,Lake,2003,Secchi Depth,14.512118968408881,6.825406916522693,10.369722352316591,6,simulated
Big Glen Lake,Lake,2004,Secchi Depth,11.206587707295176,6.709646284701697,9.530249615664635,8,simulated
Big Glen Lake,Lake,2005,Secchi Depth,14.21507096917111,7.167122604624396,10.998663783181009,6,simulated
Big Glen Lake,Lake,2006,Secchi Depth,12.163567596417126,9.719795337916391,10.073930290861382,15,simulated
Big Glen Lake,Lake,2007,Secchi Depth,11.893936748831795,5.31099856818467,9.41767985853544,14,simulated
Big Glen Lake,Lake,2008,Secchi Depth,13.151879442042656,7.549858073736354,10.1595196060516,9,simulated
Big Glen Lake,Lake,2009,Secchi Depth,14.77340378862639,7.338791681154553,11.417362173866977,18,simulated
Big Glen Lake,Lake,2010,Secchi Depth,14.354023802010083,8.990820103972165,11.024340691692146,14,simulated
Big Glen Lake,Lake,2011,Secchi Depth,14.36565744518349,7.01508869512843,10.276714389843796,11,simulated
Big Glen Lake,Lake,2012,Secchi Depth,13.435207932310306,8.410096862085034,10.298550014981664,6,simulated
Big Glen Lake,Lake,2013,Secchi Depth,12.90740624039579,8.085602089166951,10.33867539952134,19,simulated
Big Glen Lake,Lake,2014,Secchi Depth,16.032468878867338,6.886073729808138,11.91441852446727,9,simulated
Big Glen Lake,Lake,2015,Secchi Depth,14.78335297407819,8.10017741216683,10.840117648451098,8,simulated
Big Glen Lake,Lake,2016,Secchi Depth,12.740015111163249,7.783464503167309,10.894854611432324,16,simulated
Big Glen Lake,Lake,2017,Secchi Depth,14.88520324069896,7.486190843383513,11.309709708110864,21,simulated
Big Glen Lake,Lake,2018,Secchi Depth,14.327122675845512,7.485827777734717,10.817086295272992,18,simulated
Big Glen Lake,Lake,2019,Secchi Depth,13.081806553419595,7.5684362516364025,10.514544252917396,16,simulated
Big Glen Lake,Lake,2020,Secchi Depth,14.584909465283712,7.43187953558349,10.578419039638442,16,simulated
Big Glen Lake,Lake,2021,Secchi Depth,13.418544068113395,5.754048422687157,10.6833259638014,17,simulated
Big Glen Lake,Lake,2022,Secchi Depth,13.713870390800427,7.902386179210038,10.729086288386624,17,simulated
Big Glen Lake,Lake,2023,Secchi Depth,14.11875187713406,8.0572588599277,11.257395796186948,16,simulated
Big Glen Lake,Lake,2024,Secchi Depth,13.752832562323402,7.014311432700822,10.83455914377504,16,simulated
Big Glen Lake,Lake,2025,Secchi Depth,13.344306336726936,7.271855457777907,11.309465988723684,16,simulated
Big Glen Lake,Lake,2000,Total Phosphorus,7.563665672038244,4.879287973813284,6.159239917409842,23,simulated
Big Glen Lake,Lake,2001,Total Phosphorus,7.387730912714117,4.252959845901627,5.65020356193228,16,simulated
Big Glen Lake,Lake,2002,Total Phosphorus,8.605993542055728,4.452215013121662,6.16153926840714,25,simulated
Big Glen Lake,Lake,2003,Total Phosphorus,6.991180583818612,4.420884278195199,5.832574740836557,22,simulated
Big Glen Lake,Lake,2004,Total Phosphorus,6.576165356461199,4.373810760443971,5.765968400698683,19,simulated
Big Glen Lake,Lake,2005,Total Phosphorus,7.597154932643297,5.0044458850272715,6.16541373935608,21,simulated
Big Glen Lake,Lake,2006,Total Phosphorus,9.303435169686768,5.287956595270585,6.537224990833169,23,simulated
Big Glen Lake,Lake,2007,Total Phosphorus,7.498950375093473,5.47222916630588,6.349517989578994,22,simulated
Big Glen Lake,Lake,2008,Total Phosphorus,7.460234398517861,3.5008894700998696,5.5023089918449175,24,simulated
Big Glen Lake,Lake,2009,Total Phosphorus,7.6970394304538,4.818298377654896,5.665427418311287,19,simulated
Big Glen Lake,Lake,2010,Total Phosphorus,7.511685296475758,5.0814972906345055,6.265359229421235,23,simulated
Big Glen Lake,Lake,2011,Total Phosphorus,7.180727226222246,4.562812933983283,5.613203854170584,19,simulated
Big Glen Lake,Lake,2012,Total Phosphorus,7.900071566996507,4.065957877322846,5.830010382977151,23,simulated
Big Glen Lake,Lake,2013,Total Phosphorus,7.328999873204373,4.734524741276902,6.04998463829832,21,simulated
Big Glen Lake,Lake,2014,Total Phosphorus,6.77695536061518,3.7217145501222006,5.536861749360158,21,simulated
Big Glen Lake,Lake,2015,Total Phosphorus,7.002789610564817,4.73706819169875,5.850709145580193,28,simulated
Big Glen Lake,Lake,2016,Total Phosphorus,6.258829396797655,3.980452839758554,5.368140474890997,28,simulated
Big Glen Lake,Lake,2017,Total Phosphorus,6.64270787745247,4.576266885964492,5.572387947361292,26,simulated
